答案,題目,選項1,選項2,選項3,選項4,詳解
D,請問2025年5月15日是鳥羽水族館開館幾週年的紀念日？,67週年,68週年,69週年,70週年,略
C,マリンワールド海の中道自西元幾年開始飼育海獺？,1981年 ,1984年 ,1989年 ,1992年 ,略
A,日本第一隻在人工飼養環境出生的海獺名字是？,プック ,キラ ,メイ ,ポテト ,略
B,日本北海道可以觀賞到野生海獺的地區？,渡島半島,根室半島,積丹半島,亀田半島,略
B,海獺的「口袋」位於身體哪個部位？,腹部,腋下,臀部,後腿,略
D,請問下列何者為鼬科（貂科，學名：Mustelidae）動物？,蜜獾,水獺,海獺,以上皆是,略
B,2025年加入Monterey Bay Aquarium的海獺名字是？,Hazel,Opal,Quinn,Quatse,略
D,請問下列何者是由人工哺育的海獺？,Mana ,Joey,Tofino,以上皆是,略
A,《五感之外的世界》一書中，曾住在聖克魯茲（Santa Cruz）隆恩海洋實驗室（Long Marine Laboratory）參於研究的海獺名字是？,Selka,Ivy,Rosa,Kit,https://doi.org/10.1242/jeb.181347
D,海獺的學名是？,Mustela formosana,Lutra lutra,Pteronura brasiliensis,Enhydra lutris,略
B,請問海獺有幾種亞種？,兩種,三種,四種,五種,略
B,請問棲息在阿拉斯加地區的海獺是何種亞種？,Enhydra lutris nereis,Enhydra lutris kenyoni,Enhydra lutris lutris ,Enhydra lutris lutra,略
D,請問海獺每天大約會吃掉體重幾％重量的食物？,2-3％,7-9％,10-18％,20-25％,略
C,請問海獺的咬合力道與何種陸生動物類似？,雪貂,灰狼,石虎,黑熊,略
D,以下何者為海獺的食物？,海膽,螃蟹,鮑魚,以上皆是,略
D,請問海獺在潛水中可以停留多少時間？,1-2分鐘,3-4分鐘,5分鐘,6-7分鐘,略
C,請問國際自然和自然資源保護聯盟（IUCN）將海獺列為何種級別的動物？,"野外絕滅（EW, Extinct in the Wild）","極危（CR, Critically Endangered）","瀕危（EN, Endangered）","易危（VU, Vulnerable）",略
B,南方海獺因為皮草貿易一度被認為已經滅絕。直到某一年，美國加利福尼亞州中大瑟爾海岸（Big Sur）奇蹟般地發現了約50隻南方海獺。請問「某一年」是在西元哪一年？,1928年,1938年,1948年,1958年,略
C,請問World Otter Day是每年的哪一天？,五月的第一個星期五,五月的第二個星期日,五月的最後一個星期三,五月的最後一個星期六,略
C,請問下列何者為體型最小的海洋哺乳類動物？,海豹,海獅,海獺,海狗,略
D,請問下列何者為體型最大的鼬科動物？,非洲艾虎,巨獺,豬獾,海獺,略
B,請問以下中東地區的水族館，哪一間有海獺？,Disneyland Abu Dhabi,SeaWorld Abu Dhabi,National Aquarium Abu Dhabi,Dubai Aquarium & Underwater Zoo,略
B,請問海獺Moea住在以下哪一間水族館？,Aquarium of the Pacific,Point Defiance Zoo & Aquarium,Monterey Bay Aquarium,Vancouver Aquarium,略
